REPORT_DISTRICT,REPORT_DISTNAME,REPORT_CHARTER_STATUS,BLANK_COLUMN,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS,CTE_HOURS,CTE_AVG,ALL_STUDENTS,ALL_HOURS,ALL_AVG
,,,,001906,03102500,INDEP STUDY IN MATH (1ST TIME),-999,-999,3.0,-999,-999,3.0
,,,,001906,03220300,ENGLISH III (ENG 3),-999,24,-999.0,-999,30,-999.0
,,,,001906,03220400,ENGLISH IV (ENG 4),-999,18,-999.0,-999,18,-999.0
,,,,001906,03221500,LITERARY GENRES (LIT GENR),-999,-999,3.0,-999,-999,3.0
,,,,001906,03241400,COMMUNICATION APPLICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,001906,03330100,UNITED STATES GOVERNMENT (GOVT,-999,12,-999.0,-999,15,-999.0
,,,,001906,03340100,US HISTORY STUDIES SINCE 1877,-999,39,-999.0,12,57,4.8
,,,,001906,03350100,PSYCHOLOGY (PSYCH),-999,27,-999.0,-999,30,-999.0
,,,,001906,03370100,SOCIOLOGY (SOC),-999,-999,3.0,-999,-999,3.0
,,,,001906,03380001,SOCIAL STUDIES ADV (1ST TIME),-999,21,-999.0,-999,21,-999.0
,,,,001906,03500100,ART I (ART 1),-999,-999,3.0,-999,-999,3.0
,,,,001906,03500500,ART II DRAWING (ART2DRAW),-999,-999,3.0,-999,-999,3.0
,,,,001906,03580200,COMPUTER SCIENCE I,-999,-999,3.0,-999,-999,3.0
,,,,001906,13008400,ADVANCED ANIMATION,-999,-999,3.0,-999,-999,3.0
,,,,001906,13012100,BUSINESS MANAGEMENT,-999,-999,6.0,-999,-999,6.0
,,,,001906,13020600,ANATOMY & PHYSIOLOGY,-999,-999,3.0,-999,-999,3.0
Total,,,,001906,,,52,189,3.6,60,222,3.7
,,,,001906,,,,,,,,
001907,PALESTINE ISD,TRADITIONAL ISD/CSD,,001907,03102510,ADVANCED QUANT REASONING,18,93,5.2,18,93,5.2
,,,,001907,03220300,ENGLISH III (ENG 3),-999,-999,6.0,-999,-999,6.0
,,,,001907,03220400,ENGLISH IV (ENG 4),10,57,5.7,10,57,5.7
,,,,001907,03340100,US HISTORY STUDIES SINCE 1877,25,141,5.6,25,141,5.6
,,,,001907,13009900,PROFESSIONAL COMMUNICATIONS,33,99,3.0,33,99,3.0
,,,,001907,A3020000,AP ENVIRONMENTAL SCIENCE,-999,-999,3.0,-999,-999,3.0
Total,,,,001907,,,96,447,4.7,96,447,4.7
,,,,001907,,,,,,,,
001908,WESTWOOD ISD,TRADITIONAL ISD/CSD,,001908,03102500,INDEP STUDY IN MATH (1ST TIME),-999,12,-999.0,-999,15,-999.0
,,,,001908,03220300,ENGLISH III (ENG 3),18,108,6.0,27,162,6.0
,,,,001908,03220400,ENGLISH IV (ENG 4),19,114,6.0,23,138,6.0
,,,,001908,03241400,COMMUNICATION APPLICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,001908,03310300,ECONOMICS W/EMPH FREE ENTERPR,21,63,3.0,25,75,3.0
,,,,001908,03330100,UNITED STATES GOVERNMENT (GOVT,20,60,3.0,24,72,3.0
,,,,001908,03340100,US HISTORY STUDIES SINCE 1877,18,108,6.0,28,165,5.9
,,,,001908,03500100,ART I (ART 1),-999,15,-999.0,-999,18,-999.0
,,,,001908,13011500,BUSIN INFO MGT II,-999,-999,3.0,-999,-999,3.0
,,,,001908,13032300,WELDING,-999,24,-999.0,-999,24,-999.0
Total,,,,001908,,,117,516,4.4,150,681,4.5
,,,,001908,,,,,,,,
001909,SLOCUM ISD,TRADITIONAL ISD/CSD,,001909,03220300,ENGLISH III (ENG 3),-999,12,-999.0,-999,12,-999.0
,,,,001909,03220400,ENGLISH IV (ENG 4),17,54,3.2,21,66,3.1
,,,,001909,03240900,PUBLIC SPEAKING I (PUBSPKG1),-999,18,-999.0,-999,18,-999.0
,,,,001909,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,-999,3.0,-999,-999,3.0
,,,,001909,03330100,UNITED STATES GOVERNMENT (GOVT,13,39,3.0,17,51,3.0
,,,,001909,03340100,US HISTORY STUDIES SINCE 1877,10,54,5.4,14,78,5.6
,,,,001909,03350100,PSYCHOLOGY (PSYCH),-999,15,-999.0,-999,15,-999.0
,,,,001909,03370100,SOCIOLOGY (SOC),-999,-999,3.0,-999,-999,3.0
,,,,001909,03501700,ART III HISTORY (ART3HIST),10,30,3.0,10,30,3.0
,,,,001909,13014300,HUMAN GROWTH & DEVELOP,-999,15,-999.0,-999,15,-999.0
Total,,,,001909,,,72,246,3.4,84,294,3.5
,,,,001909,,,,,,,,
002901,ANDREWS ISD,TRADITIONAL ISD/CSD,,002901,03152700,MUSIC I THEORY (MUS1THY),-999,-999,3.0,-999,-999,3.0
,,,,002901,03220400,ENGLISH IV (ENG 4),23,132,5.7,32,186,5.8
,,,,002901,03240900,PUBLIC SPEAKING I (PUBSPKG1),25,75,3.0,28,84,3.0
,,,,002901,03330100,UNITED STATES GOVERNMENT (GOVT,22,66,3.0,29,87,3.0
,,,,002901,03350100,PSYCHOLOGY (PSYCH),33,99,3.0,36,108,3.0
,,,,002901,03370100,SOCIOLOGY (SOC),-999,-999,3.0,-999,21,-999.0
,,,,002901,03440300,LANG O/T ENGLISH III - SPANISH,-999,44,-999.0,10,60,6.0
,,,,002901,13020300,MEDICAL TERMINOLOGY,-999,16,-999.0,10,-999,-999.0
Total,,,,002901,,,125,450,3.6,153,569,3.7
,,,,002901,,,,,,,,
003801,PINEYWOODS COMMUNITY ACADEMY,OPEN ENROLLMENT CHARTER,,003801,03010200,BIOLOGY (BIO),13,60,4.6,20,92,4.6
,,,,003801,03040000,CHEMISTRY (CHEM),-999,-999,4.0,-999,22,-999.0
,,,,003801,03050000,PHYSICS (PHYSICS),,0,,-999,12,-999.0
,,,,003801,03060200,EARTH AND SPACE SCIENCE (ESS),-999,12,-999.0,-999,22,-999.0
,,,,003801,03101100,PRECALCULUS (PRE CALC),-999,-999,3.0,-999,-999,3.0
,,,,003801,03102520,DISCRETE MATH FOR PRBLM SOLVNG,-999,-999,3.0,-999,15,-999.0
,,,,003801,03152700,MUSIC I THEORY (MUS1THY),-999,15,-999.0,20,58,2.9
,,,,003801,03220300,ENGLISH III (ENG 3),-999,42,-999.0,22,111,5.0
,,,,003801,03220400,ENGLISH IV (ENG 4),12,54,4.5,22,102,4.6
,,,,003801,03241400,COMMUNICATION APPLICATIONS,-999,18,-999.0,21,63,3.0
,,,,003801,03250700,THEATRE PRODUCTION I (TH1PROD),-999,-999,3.0,-999,12,-999.0
,,,,003801,03310300,ECONOMICS W/EMPH FREE ENTERPR,10,30,3.0,18,54,3.0
,,,,003801,03310301,ECONOMICS ADV STUDIES (1ST),-999,-999,3.0,-999,21,-999.0
,,,,003801,03320100,WORLD GEOGRAPHY STUDIES (W GEO,,0,,-999,-999,3.0
,,,,003801,03330100,UNITED STATES GOVERNMENT (GOVT,14,54,3.9,39,144,3.7
,,,,003801,03340100,US HISTORY STUDIES SINCE 1877,-999,27,-999.0,39,117,3.0
,,,,003801,03350100,PSYCHOLOGY (PSYCH),,0,,-999,-999,3.0
,,,,003801,03370100,SOCIOLOGY (SOC),-999,-999,3.0,-999,21,-999.0
,,,,003801,03440400,LANG O/T ENGLISH IV - SPANISH,-999,42,-999.0,35,189,5.4
,,,,003801,03501700,ART III HISTORY (ART3HIST),-999,-999,3.0,-999,-999,3.0
,,,,003801,13001000,MATH APPL IN AG/FOOD/& NAT RES,-999,-999,3.0,-999,-999,3.0
,,,,003801,13004200,PRINCIPLES OF ARCH & CONSTR,-999,-999,3.0,-999,-999,3.0
,,,,003801,13011400,BUSIN INFO MGT I,-999,-999,3.0,-999,-999,3.0
,,,,003801,13011700,BUSINESS LAW,13,39,3.0,13,39,3.0
,,,,003801,13012100,BUSINESS MANAGEMENT,-999,-999,3.0,-999,-999,3.0
,,,,003801,13016200,MONEY MATTERS,13,39,3.0,13,39,3.0
,,,,003801,13020200,PRINCIPLES OF HEALTH SCIENCE,-999,-999,2.0,-999,-999,2.0
,,,,003801,13020300,MEDICAL TERMINOLOGY,-999,-999,3.0,-999,-999,3.0
,,,,003801,13020400,HEALTH SCIENCE,-999,12,-999.0,-999,12,-999.0
,,,,003801,13020500,PRACTICUM HEALTH SCIENCE,-999,-999,4.0,-999,-999,4.0
,,,,003801,13020600,ANATOMY & PHYSIOLOGY,-999,20,-999.0,-999,20,-999.0
,,,,003801,13020700,MEDICAL MICROBIOLOGY,-999,-999,4.0,-999,-999,4.0
,,,,003801,13025200,COSMETOLOGY I,-999,-999,3.0,-999,-999,3.0
,,,,003801,13027200,PRINCIPLES OF INFO TECH,13,42,3.2,13,42,3.2
,,,,003801,13036700,ENGINEERING MATHEMATICS,-999,-999,4.0,-999,-999,4.0
,,,,003801,13039600,AUTOMOTIVE TECHNOLOGY,-999,-999,4.0,-999,-999,4.0
,,,,003801,13039700,ADV AUTOMOTIVE TECHNOLOGY,-999,-999,4.0,-999,-999,4.0
,,,,003801,PES00008,PE SUB NON-DIST PGM 1,-999,-999,3.0,-999,-999,3.0
,,,,003801,PES00013,PE SUB CHEERLEADING,-999,-999,3.0,-999,-999,3.0
,,,,003801,PES00052,FOUND OF PERSON FITNESS,13,15,1.2,21,24,1.1
Total,,,,003801,,,180,628,3.5,368,"1,322",3.6
,,,,003801,,,,,,,,
003902,HUDSON ISD,TRADITIONAL ISD/CSD,,003902,03102500,INDEP STUDY IN MATH (1ST TIME),21,114,5.4,22,120,5.5
,,,,003902,03102501,INDEP STUDY IN MATH (2ND TIME),-999,24,-999.0,-999,27,-999.0
,,,,003902,03152900,MUSIC I HISTORY (MUS1HIST),23,96,4.2,29,120,4.1
,,,,003902,03220400,ENGLISH IV (ENG 4),40,201,5.0,40,201,5.0
,,,,003902,03221800,INDEP STUDY/ENGLISH (1ST TIME),-999,-999,3.0,-999,-999,3.0
,,,,003902,03241400,COMMUNICATION APPLICATIONS,12,39,3.3,16,51,3.2
,,,,003902,03250100,THEATRE ARTS I (TH1),-999,-999,3.0,-999,-999,3.0
,,,,003902,03330100,UNITED STATES GOVERNMENT (GOVT,21,63,3.0,21,63,3.0
,,,,003902,03340100,US HISTORY STUDIES SINCE 1877,22,90,4.1,27,114,4.2
,,,,003902,03350100,PSYCHOLOGY (PSYCH),10,30,3.0,14,42,3.0
,,,,003902,03370100,SOCIOLOGY (SOC),15,45,3.0,18,54,3.0
,,,,003902,03380002,SPEC TOPIC IN SOC STUD (1ST),18,54,3.0,18,54,3.0
,,,,003902,03501700,ART III HISTORY (ART3HIST),-999,12,-999.0,-999,12,-999.0
,,,,003902,13020500,PRACTICUM HEALTH SCIENCE,22,210,9.5,22,210,9.5
,,,,003902,13020510,PRACTICUM HEALTH SCIENCE II,-999,12,-999.0,-999,12,-999.0
,,,,003902,13037200,SCIENTIFIC RESEARCH & DESIGN,11,88,8.0,11,88,8.0
,,,,003902,LD11110A,LOCALLY DVELOPED MATHEMATICS A,-999,12,-999.0,-999,12,-999.0
Total,,,,003902,,,234,"1,102",4.7,258,"1,192",4.6
,,,,003902,,,,,,,,
003903,LUFKIN ISD,TRADITIONAL ISD/CSD,,003903,03102500,INDEP STUDY IN MATH (1ST TIME),-999,-999,6.0,-999,-999,6.0
,,,,003903,03220400,ENGLISH IV (ENG 4),40,468,11.7,41,480,11.7
,,,,003903,03330100,UNITED STATES GOVERNMENT (GOVT,-999,-999,3.0,-999,-999,3.0
,,,,003903,03340100,US HISTORY STUDIES SINCE 1877,50,591,11.8,54,639,11.8
Total,,,,003903,,,129,"1,290",10.0,135,"1,356",10.0
,,,,003903,,,,,,,,
003904,HUNTINGTON ISD,TRADITIONAL ISD/CSD,,003904,03100500,ALGEBRA I (ALG 1),-999,15,-999.0,-999,18,-999.0
,,,,003904,03220400,ENGLISH IV (ENG 4),35,174,5.0,36,180,5.0
,,,,003904,03241400,COMMUNICATION APPLICATIONS,48,144,3.0,57,171,3.0
,,,,003904,03250100,THEATRE ARTS I (TH1),-999,-999,3.0,-999,-999,3.0
,,,,003904,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,-999,3.0,-999,-999,3.0
,,,,003904,03330100,UNITED STATES GOVERNMENT (GOVT,37,162,4.4,39,168,4.3
,,,,003904,03340100,US HISTORY STUDIES SINCE 1877,63,357,5.7,85,489,5.8
,,,,003904,03350100,PSYCHOLOGY (PSYCH),22,72,3.3,26,84,3.2
,,,,003904,03370100,SOCIOLOGY (SOC),-999,-999,3.0,-999,30,-999.0
,,,,003904,03502300,ART IV DRAWING (ART4DRAW),19,57,3.0,20,60,3.0
,,,,003904,13005600,ELECTRICAL TECHNOLOGY,-999,-999,3.0,-999,-999,3.0
,,,,003904,13009600,PRINT & IMAGING TECH,-999,15,-999.0,-999,15,-999.0
,,,,003904,13012100,BUSINESS MANAGEMENT,-999,-999,3.0,-999,-999,3.0
,,,,003904,13020300,MEDICAL TERMINOLOGY,-999,-999,3.0,-999,-999,3.0
,,,,003904,13027800,DIGITAL & INTERACTIVE MEDIA,-999,-999,3.0,-999,-999,3.0
,,,,003904,13032300,WELDING,-999,-999,3.0,-999,-999,3.0
Total,,,,003904,,,246,"1,032",4.2,291,"1,242",4.3
,,,,003904,,,,,,,,
003905,DIBOLL ISD,TRADITIONAL ISD/CSD,,003905,03102500,INDEP STUDY IN MATH (1ST TIME),-999,21,-999.0,-999,21,-999.0
,,,,003905,03102501,INDEP STUDY IN MATH (2ND TIME),-999,-999,3.0,-999,-999,3.0
,,,,003905,03102502,INDEPEND STUDY MATH,-999,12,-999.0,-999,12,-999.0
,,,,003905,03152900,MUSIC I HISTORY (MUS1HIST),10,30,3.0,10,30,3.0
,,,,003905,03220400,ENGLISH IV (ENG 4),19,102,5.4,19,102,5.4
,,,,003905,03241400,COMMUNICATION APPLICATIONS,21,66,3.1,21,66,3.1
,,,,003905,03250400,THEATRE ARTS IV (TH4),10,30,3.0,10,30,3.0
,,,,003905,03330100,UNITED STATES GOVERNMENT (GOVT,-999,30,-999.0,-999,30,-999.0
,,,,003905,03340100,US HISTORY STUDIES SINCE 1877,12,57,4.8,12,57,4.8
,,,,003905,03350100,PSYCHOLOGY (PSYCH),12,36,3.0,12,36,3.0
,,,,003905,03370100,SOCIOLOGY (SOC),17,51,3.0,17,51,3.0
,,,,003905,03501700,ART III HISTORY (ART3HIST),-999,-999,3.0,-999,-999,3.0
Total,,,,003905,,,121,447,3.7,121,447,3.7
,,,,003905,,,,,,,,
003906,ZAVALLA ISD,TRADITIONAL ISD/CSD,,003906,03220400,ENGLISH IV (ENG 4),-999,36,-999.0,-999,36,-999.0
,,,,003906,03330100,UNITED STATES GOVERNMENT (GOVT,-999,36,-999.0,-999,36,-999.0
,,,,003906,03350100,PSYCHOLOGY (PSYCH),11,33,3.0,12,36,3.0
,,,,003906,03380001,SOCIAL STUDIES ADV (1ST TIME),11,33,3.0,12,36,3.0
,,,,003906,03380021,SOCIAL STUDIES ADV (2ND TIME),-999,27,-999.0,10,30,3.0
,,,,003906,I3100300,IB MATHEMATICS HIGHER LEVEL,-999,12,-999.0,-999,12,-999.0
,,,,003906,N1170120,ART DSGN & PROD F/ADV VIS ART,-999,27,-999.0,10,30,3.0
Total,,,,003906,,,60,204,3.4,64,216,3.4
,,,,003906,,,,,,,,
003907,CENTRAL ISD,TRADITIONAL ISD/CSD,,003907,03102500,INDEP STUDY IN MATH (1ST TIME),-999,54,-999.0,-999,60,-999.0
,,,,003907,03330100,UNITED STATES GOVERNMENT (GOVT,-999,27,-999.0,-999,27,-999.0
Total,,,,003907,,,19,81,4.3,20,87,4.4
,,,,003907,,,,,,,,
004901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,,004901,03102500,INDEP STUDY IN MATH (1ST TIME),-999,-999,3.0,-999,-999,3.0
,,,,004901,03220400,ENGLISH IV (ENG 4),16,96,6.0,20,120,6.0
,,,,004901,03241400,COMMUNICATION APPLICATIONS,-999,18,-999.0,16,48,3.0
,,,,004901,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,-999,3.0,-999,15,-999.0
,,,,004901,03330100,UNITED STATES GOVERNMENT (GOVT,-999,24,-999.0,12,36,3.0
,,,,004901,03340100,US HISTORY STUDIES SINCE 1877,-999,30,-999.0,-999,54,-999.0
,,,,004901,03350100,PSYCHOLOGY (PSYCH),11,33,3.0,20,60,3.0
,,,,004901,03500100,ART I (ART 1),,0,,-999,-999,3.0
,,,,004901,13016900,STAT & RISK MGT,-999,-999,3.0,-999,-999,3.0
,,,,004901,13020300,MEDICAL TERMINOLOGY,10,30,3.0,11,33,3.0
,,,,004901,13022600,CULINARY ARTS,-999,30,-999.0,-999,30,-999.0
Total,,,,004901,,,66,276,4.2,101,405,4.0
,,,,004901,,,,,,,,
005901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,,005901,03101100,PRECALCULUS (PRE CALC),-999,-999,4.3,18,69,3.8
,,,,005901,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,-999,3.0,-999,18,-999.0
,,,,005901,03340100,US HISTORY STUDIES SINCE 1877,10,57,5.7,-999,87,-999.0
Total,,,,005901,,,21,102,4.9,39,174,4.5
,,,,005901,,,,,,,,
005902,HOLLIDAY ISD,TRADITIONAL ISD/CSD,,005902,03340100,US HISTORY STUDIES SINCE 1877,16,48,3.0,20,60,3.0
Total,,,,005902,,,16,48,3.0,20,60,3.0
,,,,005902,,,,,,,,
005904,WINDTHORST ISD,TRADITIONAL ISD/CSD,,005904,03220400,ENGLISH IV (ENG 4),-999,-999,5.7,-999,-999,5.7
,,,,005904,03330100,UNITED STATES GOVERNMENT (GOVT,-999,-999,3.0,-999,-999,3.0
Total,,,,005904,,,13,69,5.3,13,69,5.3
,,,,005904,,,,,,,,
006902,CLAUDE ISD,TRADITIONAL ISD/CSD,,006902,03330100,UNITED STATES GOVERNMENT (GOVT,-999,-999,3.0,-999,-999,3.0
,,,,006902,03340100,US HISTORY STUDIES SINCE 1877,-999,48,-999.0,11,66,6.0
,,,,006902,03350100,PSYCHOLOGY (PSYCH),-999,-999,3.0,-999,-999,3.0
Total,,,,006902,,,16,72,4.5,20,93,4.7
,,,,006902,,,,,,,,
007901,CHARLOTTE ISD,TRADITIONAL ISD/CSD,,007901,03152700,MUSIC I THEORY (MUS1THY),-999,-999,3.0,-999,-999,3.0
,,,,007901,03220300,ENGLISH III (ENG 3),-999,12,-999.0,-999,12,-999.0
,,,,007901,03220400,ENGLISH IV (ENG 4),-999,18,-999.0,-999,18,-999.0
,,,,007901,03241400,COMMUNICATION APPLICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,007901,03340100,US HISTORY STUDIES SINCE 1877,-999,30,-999.0,-999,30,-999.0
,,,,007901,03340407,WORLD HISTORY STUDIES,-999,12,-999.0,-999,12,-999.0
,,,,007901,03350100,PSYCHOLOGY (PSYCH),-999,-999,3.0,-999,-999,3.0
,,,,007901,03380001,SOCIAL STUDIES ADV (1ST TIME),-999,-999,3.0,-999,-999,3.0
,,,,007901,03440300,LANG O/T ENGLISH III - SPANISH,,0,,-999,-999,3.0
,,,,007901,13004600,ARCHITECTURAL DESIGN,19,57,3.0,19,57,3.0
,,,,007901,13005100,CONSTRUCTION TECHNOLOGY,10,30,3.0,10,30,3.0
Total,,,,007901,,,45,171,3.8,47,177,3.8
,,,,007901,,,,,,,,
007902,JOURDANTON ISD,TRADITIONAL ISD/CSD,,007902,03220300,ENGLISH III (ENG 3),19,111,5.8,21,123,5.9
,,,,007902,03220400,ENGLISH IV (ENG 4),19,114,6.0,23,138,6.0
,,,,007902,03310300,ECONOMICS W/EMPH FREE ENTERPR,15,45,3.0,15,45,3.0
,,,,007902,03330100,UNITED STATES GOVERNMENT (GOVT,27,81,3.0,32,96,3.0
,,,,007902,03340100,US HISTORY STUDIES SINCE 1877,16,96,6.0,18,108,6.0
,,,,007902,13002400,AGRICULTURAL POWER SYS,-999,-999,6.0,-999,15,-999.0
,,,,007902,13011300,TOUCH SYS DATA ENTRY,-999,48,-999.0,-999,48,-999.0
,,,,007902,13011500,BUSIN INFO MGT II,25,150,6.0,25,150,6.0
,,,,007902,13020600,ANATOMY & PHYSIOLOGY,-999,-999,3.0,-999,-999,3.0
,,,,007902,13027200,PRINCIPLES OF INFO TECH,,0,,-999,-999,6.0
,,,,007902,13027300,COMPUTER MAINTENANCE,,0,,-999,-999,3.0
,,,,007902,13027400,TELECOMM & NETWORKING,,0,,-999,-999,3.0
,,,,007902,13039300,"ENERGY, PWR, & TRANS SYS",-999,-999,6.0,-999,15,-999.0
Total,,,,007902,,,132,660,5.0,152,753,5.0
,,,,007902,,,,,,,,
007904,LYTLE ISD,TRADITIONAL ISD/CSD,,007904,03101100,PRECALCULUS (PRE CALC),-999,-999,3.0,-999,15,-999.0
,,,,007904,03220300,ENGLISH III (ENG 3),10,60,6.0,13,75,5.8
,,,,007904,03220400,ENGLISH IV (ENG 4),18,102,5.7,23,132,5.7
,,,,007904,03241400,COMMUNICATION APPLICATIONS,-999,-999,3.0,-999,-999,3.0
,,,,007904,03330100,UNITED STATES GOVERNMENT (GOVT,20,60,3.0,25,75,3.0
,,,,007904,03340100,US HISTORY STUDIES SINCE 1877,36,177,4.9,49,243,5.0
,,,,007904,03350100,PSYCHOLOGY (PSYCH),12,36,3.0,21,63,3.0
,,,,007904,03370100,SOCIOLOGY (SOC),-999,24,-999.0,19,57,3.0
,,,,007904,03380002,SPEC TOPIC IN SOC STUD (1ST),10,30,3.0,16,48,3.0
,,,,007904,A3100101,AP CALCULUS AB,-999,-999,3.0,-999,-999,3.0
Total,,,,007904,,,120,507,4.2,174,717,4.1
,,,,007904,,,,,,,,
007905,PLEASANTON ISD,TRADITIONAL ISD/CSD,,007905,03102500,INDEP STUDY IN MATH (1ST TIME),15,45,3.0,16,48,3.0
,,,,007905,03220300,ENGLISH III (ENG 3),-999,48,-999.0,-999,48,-999.0
,,,,007905,03220400,ENGLISH IV (ENG 4),22,120,5.5,22,120,5.5
,,,,007905,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,24,-999.0,-999,24,-999.0
,,,,007905,03330100,UNITED STATES GOVERNMENT (GOVT,-999,27,-999.0,-999,27,-999.0
,,,,007905,03340100,US HISTORY STUDIES SINCE 1877,-999,36,-999.0,-999,36,-999.0
,,,,007905,03350100,PSYCHOLOGY (PSYCH),-999,-999,3.0,-999,-999,3.0
,,,,007905,03380002,SPEC TOPIC IN SOC STUD (1ST),-999,-999,3.0,-999,-999,3.0
,,,,007905,13020300,MEDICAL TERMINOLOGY,-999,24,-999.0,-999,24,-999.0
,,,,007905,13032300,WELDING,-999,18,-999.0,-999,18,-999.0
Total,,,,007905,,,93,366,3.9,94,369,3.9
,,,,007905,,,,,,,,
007906,POTEET ISD,TRADITIONAL ISD/CSD,,007906,03220400,ENGLISH IV (ENG 4),13,72,5.5,13,72,5.5
,,,,007906,03310300,ECONOMICS W/EMPH FREE ENTERPR,11,33,3.0,11,33,3.0
,,,,007906,03330100,UNITED STATES GOVERNMENT (GOVT,16,44,2.8,16,44,2.8
,,,,007906,03340100,US HISTORY STUDIES SINCE 1877,14,81,5.8,14,81,5.8
,,,,007906,13039600,AUTOMOTIVE TECHNOLOGY,30,165,5.5,30,165,5.5
Total,,,,007906,,,84,395,4.7,84,395,4.7
,,,,007906,,,,,,,,
008901,BELLVILLE ISD,TRADITIONAL ISD/CSD,,008901,03220400,ENGLISH IV (ENG 4),37,216,5.8,38,222,5.8
,,,,008901,03330100,UNITED STATES GOVERNMENT (GOVT,40,120,3.0,42,126,3.0
,,,,008901,03340100,US HISTORY STUDIES SINCE 1877,34,204,6.0,39,234,6.0
Total,,,,008901,,,111,540,4.9,119,582,4.9
,,,,008901,,,,,,,,
008902,SEALY ISD,TRADITIONAL ISD/CSD,,008902,03220400,ENGLISH IV (ENG 4),-999,36,-999.0,-999,48,-999.0
,,,,008902,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,15,-999.0,-999,21,-999.0
,,,,008902,03330100,UNITED STATES GOVERNMENT (GOVT,12,36,3.0,18,54,3.0
,,,,008902,03340100,US HISTORY STUDIES SINCE 1877,24,141,5.9,27,156,5.8
Total,,,,008902,,,47,228,4.9,60,279,4.7
,,,,008902,,,,,,,,
008903,BRAZOS ISD,TRADITIONAL ISD/CSD,,008903,03220400,ENGLISH IV (ENG 4),-999,15,-999.0,-999,15,-999.0
,,,,008903,03310300,ECONOMICS W/EMPH FREE ENTERPR,-999,12,-999.0,-999,12,-999.0
,,,,008903,03330100,UNITED STATES GOVERNMENT (GOVT,-999,15,-999.0,-999,15,-999.0
,,,,008903,03340100,US HISTORY STUDIES SINCE 1877,10,54,5.4,13,72,5.5
Total,,,,008903,,,22,96,4.4,25,114,4.6
,,,,008903,,,,,,,,
009901,MULESHOE ISD,TRADITIONAL ISD/CSD,,009901,03102500,INDEP STUDY IN MATH (1ST TIME),11,33,3.0,11,33,3.0
,,,,009901,03102501,INDEP STUDY IN MATH (2ND TIME),-999,21,-999.0,-999,21,-999.0
,,,,009901,03220400,ENGLISH IV (ENG 4),14,84,6.0,14,84,6.0
,,,,009901,03330100,UNITED STATES GOVERNMENT (GOVT,-999,-999,3.0,-999,-999,3.0
,,,,009901,03370100,SOCIOLOGY (SOC),-999,-999,3.0,-999,-999,3.0
Total,,,,009901,,,37,153,4.1,37,153,4.1
,,,,009901,,,,,,,,
